year,state,total_votes,dem,rep,other
2000,SD,316269,0.37564225390411300,0.6029677268401270,0.021390019255760100
2000,TN,2076181,0.4728489471775340,0.5114915318076800,0.015453373284891800
2000,TX,6407637,0.37981958091571000,0.5929859946810350,0.02708455550774800
2000,UT,770754,0.26344722181136900,0.6683014295092860,0.06825005124851770
2000,VA,2739447,0.4443561054475590,0.5247372918694910,0.029881943326518100
2000,VT,294308,0.5063470921619530,0.4069716079753180,0.08493483017790890
2000,WA,2487433,0.5015821531675430,0.44578647947502500,0.05263136735743230
2000,WI,2598607,0.47832819660687400,0.4761316351414430,0.045540168251682500
2000,WV,648124,0.4559266436669530,0.5191521992705100,0.02488412711147870
2000,WY,213726,0.282983820405566,0.6922274313841090,0.02478874821032540
2004,AK,312598,0.35516861912104400,0.6106532991253940,0.031650874285824000
2004,AL,1883415,0.36844402322377200,0.6246068975770080,0.006472285715044220
2004,AR,1054945,0.44547630445189100,0.5430595907843540,0.011464104763755500
2004,AZ,2012585,0.44396832928795600,0.5486943408601380,0.005890931314702240
2004,CA,12421353,0.5430555753467440,0.44357695977241800,0.011688581751118400
2004,CO,2129630,0.47037842254288300,0.5171109535459210,0.012510623911195800
2004,CT,1578769,0.543137089719902,0.4394727791082800,0.01738253031317440
2004,DC,227586,0.8918386895503240,0.09339766066454,0.012540314430588900
2004,DE,375190,0.5334683760228150,0.4575281857192360,0.009003438257949310
2004,FL,7609810,0.4709111002771420,0.5209751623233700,0.008113737399488290
2004,GA,3301875,0.41374946053378800,0.5797475676698850,0.005568654173764910
2004,HI,429013,0.5400955215809310,0.45264595711551900,0.007258521303550240
2004,IA,1506908,0.4923313168421700,0.4990065750530230,0.007936118196996770
2004,ID,598376,0.3026491704212740,0.6839094482399030,0.013441381338823700
2004,IL,5274322,0.5482316020902780,0.4447862682634850,0.006150932764438730
2004,IN,2468002,0.39262974665336600,0.5994476503665720,0.007316849824270810
2004,KS,1187756,0.3662309430556440,0.620039806155473,0.013689680372062900
2004,KY,1795882,0.39687072981409700,0.5954951383220060,0.007621881615829990
2004,LA,1943106,0.4221586470321230,0.5672202134109000,0.010621139556977300
2004,MA,2927455,0.616166602048537,0.3658840187124990,0.01630768022053290
2004,MD,2384238,0.5597146761355200,0.4297821777859430,0.010485949808702000
2004,ME,740752,0.5357285569259350,0.44576457437846900,0.018506868695595800
